work_id,furnace_in_time,press_in_time,polish_in_time,inspect_in_time,pack_in_time
W-001,2024-03-15 08:00:00,2024-03-15 08:02:00,2024-03-15 08:03:00,2024-03-15 08:04:30,2024-03-15 08:05:15
W-002,2024-03-15 08:00:30,2024-03-15 08:03:00,2024-03-15 08:04:30,2024-03-15 08:06:00,2024-03-15 08:06:45
W-003,2024-03-15 08:01:00,2024-03-15 08:04:00,2024-03-15 08:06:00,2024-03-15 08:07:30,2024-03-15 08:08:15
W-004,2024-03-15 08:01:30,2024-03-15 08:05:00,2024-03-15 08:07:30,2024-03-15 08:09:00,2024-03-15 08:09:45
W-005,2024-03-15 08:02:00,2024-03-15 08:06:00,2024-03-15 08:09:00,2024-03-15 08:10:30,2024-03-15 08:11:15
W-006,2024-03-15 08:02:30,2024-03-15 08:07:00,2024-03-15 08:10:30,2024-03-15 08:12:00,2024-03-15 08:12:45
W-007,2024-03-15 08:03:00,2024-03-15 08:08:00,2024-03-15 08:12:00,2024-03-15 08:13:30,2024-03-15 08:14:15
W-008,2024-03-15 08:03:30,2024-03-15 08:09:00,2024-03-15 08:13:30,2024-03-15 08:15:00,2024-03-15 08:15:45
W-009,2024-03-15 08:04:00,2024-03-15 08:10:00,2024-03-15 08:15:00,2024-03-15 08:16:30,2024-03-15 08:17:15
W-010,2024-03-15 08:04:30,2024-03-15 08:11:00,2024-03-15 08:16:30,2024-03-15 08:18:00,2024-03-15 08:18:45
W-011,2024-03-15 08:05:00,2024-03-15 08:12:00,2024-03-15 08:18:00,2024-03-15 08:19:30,2024-03-15 08:20:15
W-012,2024-03-15 08:05:30,2024-03-15 08:13:00,2024-03-15 08:19:30,2024-03-15 08:21:00,2024-03-15 08:21:45
W-013,2024-03-15 08:06:00,2024-03-15 08:14:00,2024-03-15 08:21:00,2024-03-15 08:22:30,2024-03-15 08:23:15
W-014,2024-03-15 08:06:30,2024-03-15 08:15:00,2024-03-15 08:22:30,2024-03-15 08:24:00,2024-03-15 08:24:45
W-015,2024-03-15 08:07:00,2024-03-15 08:17:30,2024-03-15 08:24:00,2024-03-15 08:25:30,2024-03-15 08:26:15
W-016,2024-03-15 08:07:30,2024-03-15 08:18:30,2024-03-15 08:25:30,2024-03-15 08:27:00,2024-03-15 08:27:45
W-017,2024-03-15 08:08:00,2024-03-15 08:19:30,2024-03-15 08:27:00,2024-03-15 08:28:30,2024-03-15 08:29:15
W-018,2024-03-15 08:08:30,2024-03-15 08:20:30,2024-03-15 08:28:30,2024-03-15 08:30:00,2024-03-15 08:30:45
W-019,2024-03-15 08:09:00,2024-03-15 08:21:30,2024-03-15 08:30:00,2024-03-15 08:31:30,2024-03-15 08:32:15
W-020,2024-03-15 08:09:30,2024-03-15 08:22:30,2024-03-15 08:31:30,2024-03-15 08:33:00,2024-03-15 08:33:45
W-021,2024-03-15 08:10:00,2024-03-15 08:23:30,2024-03-15 08:33:00,2024-03-15 08:34:30,2024-03-15 08:35:15
W-022,2024-03-15 08:10:30,2024-03-15 08:24:30,2024-03-15 08:34:30,2024-03-15 08:36:00,2024-03-15 08:36:45
W-023,2024-03-15 08:11:00,2024-03-15 08:25:30,2024-03-15 08:36:00,2024-03-15 08:37:30,2024-03-15 08:38:15
W-024,2024-03-15 08:11:30,2024-03-15 08:26:30,2024-03-15 08:37:30,2024-03-15 08:39:00,2024-03-15 08:39:45
W-025,2024-03-15 08:12:00,2024-03-15 08:27:30,2024-03-15 08:39:00,2024-03-15 08:40:30,2024-03-15 08:41:15
W-026,2024-03-15 08:12:30,2024-03-15 08:28:30,2024-03-15 08:41:45,2024-03-15 08:43:15,2024-03-15 08:44:00
W-027,2024-03-15 08:13:00,2024-03-15 08:29:30,2024-03-15 08:43:15,2024-03-15 08:44:45,2024-03-15 08:45:30
W-028,2024-03-15 08:13:30,2024-03-15 08:30:30,2024-03-15 08:44:45,2024-03-15 08:46:15,2024-03-15 08:47:00
W-029,2024-03-15 08:14:00,2024-03-15 08:31:30,2024-03-15 08:46:15,2024-03-15 08:47:45,2024-03-15 08:48:30
W-030,2024-03-15 08:14:30,2024-03-15 08:32:30,2024-03-15 08:47:45,2024-03-15 08:49:15,2024-03-15 08:50:00
W-031,2024-03-15 08:15:00,2024-03-15 08:33:30,2024-03-15 08:49:15,2024-03-15 08:50:45,2024-03-15 08:51:30
W-032,2024-03-15 08:15:30,2024-03-15 08:34:30,2024-03-15 08:50:45,2024-03-15 08:52:15,2024-03-15 08:53:00
W-033,2024-03-15 08:16:00,2024-03-15 08:35:30,2024-03-15 08:52:15,2024-03-15 08:53:45,2024-03-15 08:54:30
W-034,2024-03-15 08:16:30,2024-03-15 08:36:30,2024-03-15 08:53:45,2024-03-15 08:55:15,2024-03-15 08:56:00
W-035,2024-03-15 08:17:00,2024-03-15 08:38:30,2024-03-15 08:55:15,2024-03-15 08:56:45,2024-03-15 08:57:30
W-036,2024-03-15 08:17:30,2024-03-15 08:39:30,2024-03-15 08:56:45,2024-03-15 08:58:15,2024-03-15 08:59:00
W-037,2024-03-15 08:18:00,2024-03-15 08:40:30,2024-03-15 08:58:15,2024-03-15 08:59:45,2024-03-15 09:00:30
W-038,2024-03-15 08:18:30,2024-03-15 08:41:30,2024-03-15 08:59:45,2024-03-15 09:01:15,2024-03-15 09:02:00
W-039,2024-03-15 08:19:00,2024-03-15 08:42:30,2024-03-15 09:01:15,2024-03-15 09:02:45,2024-03-15 09:03:30
W-040,2024-03-15 08:19:30,2024-03-15 08:43:30,2024-03-15 09:02:45,2024-03-15 09:04:15,2024-03-15 09:05:00
W-041,2024-03-15 08:20:00,2024-03-15 08:44:30,2024-03-15 09:04:15,2024-03-15 09:05:45,2024-03-15 09:06:30
W-042,2024-03-15 08:20:30,2024-03-15 08:45:30,2024-03-15 09:05:45,2024-03-15 09:09:15,2024-03-15 09:10:00
W-043,2024-03-15 08:21:00,2024-03-15 08:46:30,2024-03-15 09:07:15,2024-03-15 09:10:00,2024-03-15 09:10:45
W-044,2024-03-15 08:21:30,2024-03-15 08:47:30,2024-03-15 09:08:45,2024-03-15 09:10:45,2024-03-15 09:11:30
W-045,2024-03-15 08:22:00,2024-03-15 08:48:30,2024-03-15 09:10:15,2024-03-15 09:11:45,2024-03-15 09:12:30
W-046,2024-03-15 08:22:30,2024-03-15 08:49:30,2024-03-15 09:11:45,2024-03-15 09:13:15,2024-03-15 09:14:00
W-047,2024-03-15 08:23:00,2024-03-15 08:50:30,2024-03-15 09:13:15,2024-03-15 09:14:45,2024-03-15 09:15:30
W-048,2024-03-15 08:23:30,2024-03-15 08:51:30,2024-03-15 09:14:45,2024-03-15 09:16:15,2024-03-15 09:17:00
W-049,2024-03-15 08:24:00,2024-03-15 08:52:30,2024-03-15 09:16:15,2024-03-15 09:17:45,2024-03-15 09:18:30
W-050,2024-03-15 08:24:30,2024-03-15 08:53:30,2024-03-15 09:17:45,2024-03-15 09:19:15,2024-03-15 09:20:00
W-051,2024-03-15 08:25:00,2024-03-15 08:54:30,2024-03-15 09:19:15,2024-03-15 09:20:45,2024-03-15 09:21:30
W-052,2024-03-15 08:25:30,2024-03-15 08:55:30,2024-03-15 09:20:45,2024-03-15 09:22:15,2024-03-15 09:23:00
W-053,2024-03-15 08:26:00,2024-03-15 08:56:30,2024-03-15 09:22:15,2024-03-15 09:23:45,2024-03-15 09:24:30
W-054,2024-03-15 08:26:30,2024-03-15 08:57:30,2024-03-15 09:23:45,2024-03-15 09:25:15,2024-03-15 09:26:00
W-055,2024-03-15 08:27:00,2024-03-15 08:58:30,2024-03-15 09:25:15,2024-03-15 09:26:45,2024-03-15 09:27:30
W-056,2024-03-15 08:27:30,2024-03-15 08:59:30,2024-03-15 09:26:45,2024-03-15 09:28:15,2024-03-15 09:29:00
W-057,2024-03-15 08:28:00,2024-03-15 09:00:30,2024-03-15 09:28:15,2024-03-15 09:29:45,2024-03-15 09:30:30
W-058,2024-03-15 08:28:30,2024-03-15 09:01:30,2024-03-15 09:29:45,2024-03-15 09:31:15,2024-03-15 09:32:00
W-059,2024-03-15 08:29:00,2024-03-15 09:02:30,2024-03-15 09:31:15,2024-03-15 09:32:45,2024-03-15 09:33:30
W-060,2024-03-15 08:29:30,2024-03-15 09:03:30,2024-03-15 09:32:45,2024-03-15 09:34:15,2024-03-15 09:35:00
